CODE_CIRCONSCRIPTION;NOM_CIRCONSCRIPTION;NUMERO_CANDIDAT;SEXE_CANDIDAT;NOM_CANDIDAT;PRENOM_CANDIDAT;COLONNE_TRI;TYPE_CANDIDAT;ABREVIATION_PARTI;NOM_PARTI;DEPUTE_SORTANT;SEXE_AGENT_OFF;NOM_AGENT_OFF;PRENOM_AGENT_OFF;DATE
579;Abitibi-Est;436;M;Bourgeois;Guy;BOURGEOISGUY;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;M;Harnois;Jacques;2014-03-22 20:00:01
579;Abitibi-Est;582;F;Dufour;Valérie;DUFOURVALERIE;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
579;Abitibi-Est;694;F;Larouche;Élizabeth;LAROUCHEELIZABETH;CPA;P.Q.;Parti québécois;O;F;Gaudet;Céline;2014-03-22 20:00:01
579;Abitibi-Est;690;M;Martel;Sylvain;MARTELSYLVAIN;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
579;Abitibi-Est;616;M;Perron-Tellier;Maxym;PERRONTELLIERMAXYM;CPA;É.A.P. - P.C.Q.;Équipe Adrien Pouliot - Parti conservateur du Québec;N;M;Verville;Marc;2014-03-22 20:00:01
579;Abitibi-Est;786;M;Trudel;Richard;TRUDELRICHARD;CPA;O.N. - P.I.Q.;Option nationale - Pour l'indépendance du Québec;N;M;Gauthier;Sylvain;2014-03-22 20:00:01
573;Abitibi-Ouest;358;M;Bastien;Serge;BASTIENSERGE;CPA;P.L.Q./Q.L.P.;Parti libéral du Québec/Quebec Liberal Party;N;M;Michaud;Michel;2014-03-22 20:00:01
573;Abitibi-Ouest;485;F;Camirand;Ghislaine;CAMIRANDGHISLAINE;CPA;Q.S.;Québec solidaire;N;M;Tremblay;Alain;2014-03-22 20:00:01
573;Abitibi-Ouest;490;M;Gendron;François;GENDRONFRANCOIS;CPA;P.Q.;Parti québécois;O;F;Frappier;Sonia;2014-03-22 20:00:01
573;Abitibi-Ouest;629;F;Racine;Nadia;RACINENADIA;CPA;C.A.Q.-É.F.L.;Coalition avenir Québec - L'équipe François Legault;N;F;Savard;Nicole;2014-03-22 20:00:01
