BSQ;CIRCONSCRIPTION
579;Abitibi-Est
573;Abitibi-Ouest
437;Acadie
373;Anjou—Louis-Riel
535;Argenteuil
323;Arthabaska
309;Beauce-Nord
293;Beauce-Sud
153;Beauharnois
303;Bellechasse
353;Berthier
525;Bertrand
473;Blainville
713;Bonaventure
243;Borduas
431;Bourassa-Sauvé
377;Bourget
129;Brome-Missisquoi
193;Chambly
593;Champlain
559;Chapleau
619;Charlesbourg
679;Charlevoix—Côte-de-Beaupré
173;Châteauguay
613;Chauveau
763;Chicoutimi
441;Chomedey
659;Chutes-de-la-Chaudière
683;Côte-du-Sud
433;Crémazie
403;D'Arcy-McGee
483;Deux-Montagnes
273;Drummond—Bois-Francs
759;Dubuc
745;Duplessis
443;Fabre
731;Gaspé
557;Gatineau
381;Gouin
133;Granby
481;Groulx
387;Hochelaga-Maisonneuve
561;Hull
149;Huntingdon
143;Iberville
733;Îles-de-la-Madeleine
409;Jacques-Cartier
623;Jean-Lesage
429;Jeanne-Mance—Viger
643;Jean-Talon
269;Johnson
361;Joliette
773;Jonquière
545;Labelle
779;Lac-Saint-Jean
371;LaFontaine
603;La Peltrie
203;La Pinière
209;Laporte
183;La Prairie
363;L'Assomption
423;Laurier-Dorion
439;Laval-des-Rapides
583;Laviolette
663;Lévis
289;Lotbinière-Frontenac
653;Louis-Hébert
399;Marguerite-Bourgeoys
213;Marie-Victorin
407;Marquette
349;Maskinongé
465;Masson
711;Matane-Matapédia
103;Mégantic
383;Mercier
451;Mille-Îles
495;Mirabel
233;Montarville
673;Montmorency
419;Mont-Royal
411;Nelligan
329;Nicolet-Bécancour
401;Notre-Dame-de-Grâce
123;Orford
421;Outremont
553;Papineau
369;Pointe-aux-Trembles
563;Pontiac
599;Portneuf
753;René-Lévesque
367;Repentigny
253;Richelieu
283;Richmond
703;Rimouski
699;Rivière-du-Loup—Témiscouata
413;Robert-Baldwin
783;Roberval
379;Rosemont
515;Rousseau
567;Rouyn-Noranda—Témiscamingue
111;Saint-François
393;Saint-Henri—Sainte-Anne
263;Saint-Hyacinthe
189;Saint-Jean
505;Saint-Jérôme
417;Saint-Laurent
389;Sainte-Marie—Saint-Jacques
343;Saint-Maurice
447;Sainte-Rose
177;Sanguinet
113;Sherbrooke
163;Soulanges
223;Taillon
633;Taschereau
453;Terrebonne
333;Trois-Rivières
793;Ungava
229;Vachon
639;Vanier-Les Rivières
169;Vaudreuil
249;Verchères
397;Verdun
427;Viau
449;Vimont
391;Westmount—Saint-Louis
