Circonscription;Nombre d'électeurs inscrits au décret;Nombre d'électeurs hors Québec
Abitibi-Est;33555;0
Abitibi-Ouest;35321;2
Acadie;48740;1
Anjou-Louis-Riel;43518;0
Argenteuil;44832;0
Arthabaska;58925;4
Beauce-Nord;42275;1
Beauce-Sud;48179;3
Beauharnois;45978;2
Bellechasse;43028;0
Berthier;56300;0
Bertrand;57966;5
Blainville;58768;3
Bonaventure;36101;2
Borduas;56634;3
Bourassa-Sauvé;47399;0
Bourget;49089;2
Brome-Missisquoi;56215;3
Chambly;46769;1
Champlain;48896;0
Chapleau;54566;6
Charlesbourg;52770;5
Charlevoix-Côte-de-Beaupré;51069;4
Châteauguay;50115;0
Chauveau;57430;1
Chicoutimi;46893;3
Chomedey;57716;0
Chutes-de-la-Chaudière;55525;1
Côte-du-Sud;50554;2
Crémazie;46251;7
D'Arcy-McGee;40328;7
Deux-Montagnes;47513;0
Drummond-Bois-Francs;50067;0
Dubuc;40009;0
Duplessis;38697;0
Fabre;48487;0
Gaspé;30826;0
Gatineau;57278;6
Gouin;43415;10
Granby;50556;1
Groulx;57015;2
Hochelaga-Maisonneuve;41092;3
Hull;52091;19
Huntingdon;41900;0
Iberville;46720;2
Îles-de-la-Madeleine;10828;1
Jacques-Cartier;44105;7
Jean-Lesage;46503;1
Jeanne-Mance-Viger;48365;0
Jean-Talon;45141;7
Johnson;57046;1
Joliette;57621;2
Jonquière;45559;0
La Peltrie;55426;5
La Pinière;59520;6
La Prairie;42320;2
Labelle;47473;9
Lac-Saint-Jean;42962;0
LaFontaine;41260;0
Laporte;45753;3
L'Assomption;52471;0
Laurier-Dorion;46343;4
Laval-des-Rapides;54284;2
Laviolette;35754;2
Lévis;46638;3
Lotbinière-Frontenac;54276;0
Louis-Hébert;44750;7
Marguerite-Bourgeoys;51824;4
Marie-Victorin;46567;3
Marquette;45758;1
Maskinongé;47737;1
Masson;50804;0
Matane-Matapédia;47291;0
Mégantic;38547;0
Mercier;39560;3
Mille-Îles;42465;0
Mirabel;60288;3
Montarville;51989;4
Montmorency;55817;7
Mont-Royal;42549;1
Nelligan;57492;2
Nicolet-Bécancour;39570;4
Notre-Dame-de-Grâce;39767;5
Orford;41141;5
Outremont;39074;9
Papineau;57843;2
Pointe-aux-Trembles;40822;0
Pontiac;49631;2
Portneuf;41165;0
René-Lévesque;34488;0
Repentigny;51413;0
Richelieu;44138;2
Richmond;58230;3
Rimouski;44556;3
Rivière-du-Loup-Temiscouata;50712;1
Robert-Baldwin;54327;2
Roberval;45033;0
Rosemont;51439;7
Rousseau;63088;5
Rouyn-Noranda-Témiscamingue;44488;1
Sainte-Marie-Saint-Jacques;41562;7
Sainte-Rose;50485;7
Saint-François;55773;2
Saint-Henri-Sainte-Anne;55136;5
Saint-Hyacinthe;57706;3
Saint-Jean;59142;2
Saint-Jérôme;55891;3
Saint-Laurent;54334;3
Saint-Maurice;36688;2
Sanguinet;39602;0
Sherbrooke;49274;4
Soulanges;48186;2
Taillon;51581;6
Taschereau;49281;4
Terrebonne;54694;0
Trois-Rivières;43690;0
Ungava;26655;0
Vachon;49014;2
Vanier-Les Rivières;56290;9
Vaudreuil;58289;1
Verchères;57373;2
Verdun;48056;2
Viau;40735;1
Vimont;44647;1
Westmount-Saint-Louis;39147;1
Total;5984613;322
