BSQ;CIRCONSCRIPTION;JOUR1;JOUR2;TOTAL
579;Abitibi-Est;8,09%;7,88%;15,96%
573;Abitibi-Ouest;6,23%;6,33%;12,56%
437;Acadie;6,88%;6,40%;13,28%
373;Anjou-Louis-Riel;8,21%;9,43%;17,63%
535;Argenteuil;12,01%;9,89%;21,91%
323;Arthabaska;8,94%;7,25%;16,18%
309;Beauce-Nord;6,89%;6,18%;13,07%
293;Beauce-Sud;8,34%;7,04%;15,37%
153;Beauharnois;10,02%;8,72%;18,74%
303;Bellechasse;6,09%;4,68%;10,77%
353;Berthier;8,35%;7,82%;16,16%
525;Bertrand;11,45%;11,19%;22,64%
473;Blainville;8,79%;8,96%;17,75%
713;Bonaventure;9,98%;7,23%;17,21%
243;Borduas;8,76%;7,83%;16,60%
431;Bourassa-Sauvé;6,61%;5,73%;12,34%
377;Bourget;8,15%;8,45%;16,60%
129;Brome-Missisquoi;9,93%;8,60%;18,53%
193;Chambly;10,13%;9,12%;19,25%
593;Champlain;9,91%;8,31%;18,22%
559;Chapleau;7,93%;6,91%;14,83%
619;Charlesbourg;12,29%;11,06%;23,35%
679;Charlevoix-Côte-de-Beaupré;9,96%;7,61%;17,57%
173;Châteauguay;8,47%;8,13%;16,60%
613;Chauveau;10,80%;9,36%;20,16%
763;Chicoutimi;7,64%;7,12%;14,76%
441;Chomedey;6,94%;7,08%;14,02%
659;Chutes-de-la-Chaudière;11,32%;9,92%;21,24%
683;Côte-du-Sud;7,38%;5,24%;12,62%
433;Crémazie;9,89%;8,23%;18,12%;
403;D'Arcy-McGee;10,31%;6,77%;17,08%
483;Deux-Montagnes;8,85%;8,76%;17,60%
273;Drummond-Bois-Francs;7,58%;7,56%;15,14%
759;Dubuc;6,54%;6,22%;12,76%
745;Duplessis;6,83%;7,94%;14,78%
443;Fabre;8,04%;6,96%;15,00%
731;Gaspé;8,96%;7,74%;16,69%
557;Gatineau;6,12%;6,31%;12,43%
381;Gouin;8,93%;8,43%;17,35%
133;Granby;8,28%;8,09%;16,37%
481;Groulx;7,89%;9,93%;17,82%
387;Hochelaga-Maisonneuve;7,14%;7,60%;14,74%
561;Hull;7,86%;7,23%;15,09%
149;Huntingdon;7,24%;6,55%;13,79%
143;Iberville;8,59%;7,33%;15,92%
733;Îles-de-la-Madeleine;9,11%;10,22%;19,34%
409;Jacques-Cartier;8,65%;8,32%;16,97%
623;Jean-Lesage;10,85%;9,72%;20,56%
429;Jeanne-Mance-Viger;5,53%;4,96%;10,49%
643;Jean-Talon;12,75%;12,58%;25,33%
269;Johnson;7,14%;5,89%;13,03%
361;Joliette;8,76%;9,73%;18,49%
773;Jonquière;6,78%;7,19%;13,97%
603;La Peltrie;7,68%;6,65%;14,33%
203;La Pinière;4,98%;6,42%;11,40%
183;La Prairie;7,78%;6,37%;14,15%
545;Labelle;10,00%;9,78%;19,78%
779;Lac-Saint-Jean;9,32%;7,93%;17,25%
371;LaFontaine;9,18%;9,45%;18,63%
209;Laporte;9,73%;9,14%;18,87%
363;L'Assomption;9,21%;7,90%;17,11%
423;Laurier-Dorion;6,20%;6,15%;12,36%
439;Laval-des-Rapides;11,01%;7,43%;18,44%
583;Laviolette;8,72%;7,74%;16,46%
663;Lévis;11,46%;10,99%;22,45%
289;Lotbinière-Frontenac;8,53%;5,85%;14,38%
653;Louis-Hébert;14,41%;13,24%;27,65%
399;Marguerite-Bourgeoys;5,62%;6,44%;12,06%
213;Marie-Victorin;8,16%;9,28%;17,44%
407;Marquette;7,58%;7,48%;15,06%
349;Maskinongé;10,24%;7,83%;18,06%
465;Masson;6,83%;6,93%;13,76%
711;Matane-Matapédia;7,96%;6,80%;14,76%
103;Mégantic;8,30%;7,03%;15,34%
383;Mercier;7,69%;9,31%;17,00%
451;Mille-Îles;7,40%;6,66%;14,06%
495;Mirabel;6,43%;7,13%;13,56%
233;Montarville;13,02%;9,95%;22,96%
673;Montmorency;10,63%;9,23%;19,86%
419;Mont-Royal;5,83%;6,61%;12,44%
411;Nelligan;6,50%;6,55%;13,05%
329;Nicolet-Bécancour;7,65%;6,00%;13,65%
401;Notre-Dame-de-Grâce;5,65%;5,75%;11,40%
123;Orford;10,45%;10,05%;20,50%
421;Outremont;6,97%;8,41%;15,39%
553;Papineau;6,90%;6,60%;13,49%
369;Pointe-aux-Trembles;8,89%;7,21%;16,11%
563;Pontiac;5,17%;5,75%;10,92%
599;Portneuf;9,32%;7,73%;17,06%
753;René-Lévesque;6,97%;6,93%;13,90%
367;Repentigny;9,03%;9,65%;18,68%
253;Richelieu;10,58%;10,10%;20,68%
283;Richmond;9,97%;8,82%;18,79%
703;Rimouski;7,94%;8,07%;16,01%
699;Rivière-du-Loup-Témiscouata;8,25%;6,62%;14,87%
413;Robert-Baldwin;4,36%;4,65%;9,01%
783;Roberval;8,93%;8,24%;17,17%
379;Rosemont;8,99%;7,61%;16,60%
515;Rousseau;8,99%;8,30%;17,29%
567;Rouyn-Noranda-Témiscamingue;6,74%;6,18%;12,92%
389;Sainte-Marie-Saint-Jacques;10,73%;11,39%;22,12%
447;Sainte-Rose;8,29%;7,31%;15,60%
111;Saint-François;7,61%;7,68%;15,29%
393;Saint-Henri-Sainte-Anne;8,38%;9,06%;17,43%
263;Saint-Hyacinthe;9,01%;8,79%;17,80%
189;Saint-Jean;6,70%;5,50%;12,20%;
505;Saint-Jérôme;7,99%;7,92%;15,91%
417;Saint-Laurent;10,93%;9,32%;20,25%
343;Saint-Maurice;10,39%;7,56%;17,95%
177;Sanguinet;9,55%;8,43%;17,97%
113;Sherbrooke;12,05%;10,89%;22,94%
163;Soulanges;8,19%;7,69%;15,88%
223;Taillon;11,03%;10,47%;21,50%
633;Taschereau;10,73%;10,57%;21,31%
453;Terrebonne;7,60%;6,68%;14,28%
333;Trois-Rivières;7,64%;15,18%;22,82%
793;Ungava;5,27%;5,72%;10,99%
229;Vachon;9,96%;9,71%;19,67%
639;Vanier-Les Rivières;12,04%;10,09%;22,13%
169;Vaudreuil;8,10%;6,65%;14,75%
249;Verchères;9,64%;9,28%;18,91%
397;Verdun;9,51%;8,45%;17,96%
427;Viau;4,71%;4,90%;9,62%
449;Vimont;9,13%;7,12%;16,25%
391;Westmount-Saint-Louis;8,21%;7,87%;16,08%
